(10000)
2 (859)
4 (8120)
15 (10000)
16 (9568)
29 (490)
30 (5934)
32 (901)
33 (585)
34 (3322)
35 (1161)
36 (460)
37 (400)
39 (1177)
43 (7004)
49 (407)
56 (461)
72 (1073)
78 (691)
103 (845)
105 (891)
112 (1597)
124 (494)
132 (520)
144 (604)
168 (1692)
169 (476)
176 (460)
191 (447)
192 (897)
241 (416)
242 (658)
243 (1012)
244 (550)
245 (414)
246 (781)
247 (461)
248 (496)
249 (471)
250 (750)
251 (591)
252 (573)
253 (572)
263 (485)
271 (941)
281 (526)
289 (886)
292 (602)
293 (949)
311 (403)
408 (874)
455 (467)
1662 (440)
5037 (405)
5608 (405)
30 37 (400)
15 37 (400)
15 311 (403)
30 5037 (403)
15 5037 (405)
192 5608 (402)
168 5608 (400)
30 5608 (405)
43 5608 (404)
4 5608 (401)
15 5608 (405)
15 49 (407)
241 245 (411)
43 245 (408)
4 245 (407)
16 245 (403)
15 245 (414)
43 241 (411)
4 241 (410)
16 241 (406)
15 241 (416)
15 1662 (440)
191 192 (416)
30 191 (446)
4 191 (424)
16 191 (425)
15 191 (447)
34 36 (426)
30 36 (436)
36 43 (421)
4 36 (434)
16 36 (448)
15 36 (460)
34 176 (621)
4 176 (474)
16 176 (440)
15 176 (460)
16 56 (438)
15 56 (461)
247 249 (409)
247 248 (411)
244 247 (402)
247 252 (410)
247 251 (406)
242 247 (404)
247 250 (433)
246 247 (448)
243 247 (404)
35 247 (434)
30 247 (461)
43 247 (443)
4 247 (450)
16 247 (449)
15 247 (461)
30 455 (465)
43 455 (431)
4 455 (434)
16 455 (445)
15 455 (467)
248 249 (443)
244 249 (404)
249 252 (409)
249 251 (415)
242 249 (404)
249 250 (434)
246 249 (438)
243 249 (404)
35 249 (410)
30 249 (471)
43 249 (463)
4 249 (463)
16 249 (461)
15 249 (471)
34 169 (440)
30 169 (472)
43 169 (422)
4 169 (442)
16 169 (448)
15 169 (476)
43 263 (410)
16 263 (467)
15 263 (485)
16 29 (474)
15 29 (490)
4 124 (481)
16 124 (475)
15 124 (494)
244 248 (405)
248 252 (410)
248 251 (416)
242 248 (404)
248 250 (412)
246 248 (443)
243 248 (405)
35 248 (452)
112 248 (405)
30 248 (495)
43 248 (482)
4 248 (486)
16 248 (482)
15 248 (496)
103 132 (402)
132 408 (400)
132 192 (408)
132 168 (419)
30 132 (463)
43 132 (446)
4 132 (529)
16 132 (479)
15 132 (520)
16 281 (516)
15 281 (526)
244 252 (403)
244 251 (404)
242 244 (495)
244 250 (403)
244 246 (414)
243 244 (497)
35 244 (404)
30 244 (497)
43 244 (544)
4 244 (539)
16 244 (535)
15 244 (550)
252 253 (413)
251 253 (417)
250 253 (415)
246 253 (414)
32 253 (411)
35 253 (415)
112 253 (533)
30 253 (450)
43 253 (433)
4 253 (567)
16 253 (549)
15 253 (572)
251 252 (554)
242 252 (403)
250 252 (550)
246 252 (544)
32 252 (411)
243 252 (403)
35 252 (551)
112 252 (602)
30 252 (569)
43 252 (564)
4 252 (560)
16 252 (557)
15 252 (573)
30 33 (580)
33 43 (557)
4 33 (558)
16 33 (563)
15 33 (585)
242 251 (403)
250 251 (546)
246 251 (545)
32 251 (411)
