(987)
2 (726)
3 (447)
4 (107)
5 (53)
6 (53)
7 (148)
8 (82)
9 (132)
10 (54)
11 (100)
12 (331)
13 (86)
14 (982)
17 (307)
18 (372)
25 (97)
28 (242)
29 (94)
32 (65)
33 (105)
40 (322)
47 (225)
49 (71)
50 (96)
51 (85)
55 (81)
58 (199)
66 (163)
67 (189)
68 (178)
69 (57)
76 (89)
77 (170)
86 (76)
87 (107)
88 (65)
89 (101)
96 (54)
98 (92)
102 (59)
104 (73)
105 (74)
106 (74)
107 (106)
108 (94)
109 (78)
110 (66)
119 (146)
204 (54)
5 6 (53)
5 10 (53)
5 8 (53)
5 13 (53)
5 11 (53)
4 5 (53)
5 9 (53)
5 7 (53)
5 12 (53)
3 5 (53)
2 5 (53)
5 14 (53)
6 10 (53)
6 8 (53)
6 13 (53)
6 11 (53)
4 6 (53)
6 9 (53)
6 7 (53)
6 12 (53)
3 6 (53)
2 6 (53)
6 14 (53)
8 10 (55)
10 13 (53)
10 11 (53)
4 10 (53)
9 10 (54)
7 10 (53)
10 12 (53)
3 10 (53)
2 10 (54)
10 14 (54)
2 96 (52)
55 204 (54)
66 204 (53)
77 204 (54)
68 204 (53)
67 204 (53)
18 204 (54)
2 204 (54)
14 204 (51)
66 69 (57)
68 69 (57)
67 69 (57)
58 69 (57)
12 69 (57)
3 69 (57)
2 69 (57)
14 69 (55)
14 102 (59)
14 32 (65)
87 88 (56)
2 88 (63)
14 88 (65)
104 110 (66)
105 110 (66)
106 110 (66)
109 110 (66)
108 110 (66)
107 110 (66)
58 110 (66)
3 110 (66)
14 110 (66)
49 51 (69)
49 50 (59)
2 49 (59)
14 49 (69)
104 105 (73)
104 106 (73)
104 109 (73)
104 108 (73)
104 107 (73)
58 104 (73)
3 104 (73)
14 104 (73)
105 106 (74)
105 109 (73)
105 108 (73)
105 107 (73)
58 105 (73)
3 105 (74)
14 105 (74)
106 109 (73)
106 108 (73)
106 107 (73)
58 106 (73)
3 106 (74)
14 106 (74)
51 86 (62)
2 86 (71)
14 86 (77)
108 109 (75)
107 109 (73)
58 109 (73)
3 109 (73)
14 109 (74)
55 66 (53)
55 77 (54)
55 68 (53)
55 67 (53)
18 55 (54)
3 55 (64)
2 55 (80)
14 55 (78)
8 13 (53)
8 11 (53)
4 8 (63)
8 9 (67)
7 8 (64)
8 12 (53)
3 8 (74)
2 8 (81)
8 14 (72)
50 51 (64)
2 51 (71)
14 51 (83)
11 13 (53)
4 13 (53)
9 13 (53)
7 13 (53)
12 13 (53)
3 13 (82)
2 13 (86)
13 14 (79)
76 77 (50)
28 76 (76)
12 76 (55)
2 76 (79)
14 76 (89)
89 98 (62)
40 98 (55)
2 98 (88)
14 98 (96)
28 29 (57)
29 40 (77)
2 29 (71)
14 29 (77)
107 108 (73)
58 108 (73)
3 108 (73)
14 108 (92)
18 50 (50)
2 50 (68)
14 50 (94)
25 40 (64)
2 25 (96)
14 25 (102)
4 11 (53)
9 11 (54)
7 11 (59)
11 12 (82)
3 11 (61)
2 11 (92)
11 14 (107)
17 89 (57)
40 89 (61)
18 89 (51)
2 89 (93)
14 89 (103)
17 33 (50)
18 33 (55)
2 33 (75)
14 33 (100)
58 107 (73)
3 107 (94)
14 107 (106)
4 9 (53)
4 7 (53)
4 12 (56)
3 4 (84)
2 4 (97)
4 14 (96)
2 87 (98)
14 87 (107)
7 9 (64)
9 77 (74)
9 28 (108)
9 12 (99)
3 9 (99)
2 9 (127)
9 14 (133)
7 119 (57)
77 119 (54)
68 119 (60)
67 119 (65)
47 119 (53)
28 119 (64)
17 119 (122)
40 119 (100)
12 119 (57)
18 119 (106)
2 119 (131)
14 119 (154)
7 47 (65)
7 28 (53)
7 17 (76)
7 40 (70)
7 12 (93)
7 18 (60)
3 7 (79)
2 7 (139)
7 14 (162)
66 77 (54)
66 68 (145)
66 67 (155)
58 66 (96)
17 66 (84)
40 66 (63)
12 66 (99)
18 66 (139)
3 66 (101)
2 66 (155)
14 66 (158)
68 77 (66)
67 77 (67)
28 77 (115)
17 77 (66)
40 77 (55)
12 77 (74)
18 77 (79)
3 77 (102)
2 77 (155)
14 77 (170)
67 68 (178)
58 68 (96)
17 68 (80)
40 68 (67)
12 68 (105)
18 68 (144)
3 68 (117)
2 68 (179)
14 68 (173)
58 67 (96)
17 67 (90)
40 67 (72)
12 67 (113)
18 67 (153)
3 67 (118)
2 67 (188)
14 67 (183)
12 58 (83)
18 58 (94)
3 58 (181)
2 58 (121)
14 58 (195)
28 47 (53)
17 47 (141)
40 47 (220)
12 47 (78)
18 47 (174)
3 47 (72)
2 47 (174)
14 47 (227)
28 (53)
17 28 (110)
28 40 (103)
12 28 (85)
3 28 (126)
2 28 (218)
14 28 (232)
17 40 (199)
12 17 (144)
17 18 (239)
3 17 (103)
2 17 (281)
14 17 (316)
12 40 (117)
18 40 (218)
3 40 (82)
2 40 (259)
14 40 (313)
12 18 (215)
3 12 (196)
2 12 (306)
12 14 (344)
3 18 (162)
2 18 (328)
14 18 (385)
2 3 (357)
3 14 (434)
2 14 (728)
5 6 10 (53)
5 6 8 (53)
5 6 13 (53)
5 6 11 (53)
4 5 6 (53)
5 6 9 (53)
5 6 7 (53)
5 6 12 (53)
3 5 6 (53)
2 5 6 (53)
5 6 14 (53)
5 8 10 (53)
5 10 13 (53)
5 10 11 (53)
4 5 10 (53)
5 9 10 (53)
5 7 10 (53)
5 10 12 (53)
3 5 10 (53)
2 5 10 (53)
5 10 14 (53)
5 8 13 (53)
5 8 11 (53)
4 5 8 (53)
5 8 9 (53)
5 7 8 (53)
5 8 12 (53)
3 5 8 (53)
2 5 8 (53)
5 8 14 (53)
5 11 13 (53)
4 5 13 (53)
5 9 13 (53)
5 7 13 (53)
5 12 13 (53)
3 5 13 (53)
2 5 13 (53)
5 13 14 (53)
4 5 11 (53)
5 9 11 (53)
5 7 11 (53)
5 11 12 (53)
3 5 11 (53)
2 5 11 (53)
5 11 14 (53)
4 5 9 (53)
4 5 7 (53)
4 5 12 (53)
3 4 5 (53)
2 4 5 (53)
4 5 14 (53)
5 7 9 (53)
5 9 12 (53)
3 5 9 (53)
2 5 9 (53)
5 9 14 (53)
5 7 12 (53)
3 5 7 (53)
2 5 7 (53)
5 7 14 (53)
3 5 12 (53)
2 5 12 (53)
5 12 14 (53)
2 3 5 (53)
3 5 14 (53)
2 5 14 (53)
6 8 10 (53)
6 10 13 (53)
6 10 11 (53)
4 6 10 (53)
6 9 10 (53)
6 7 10 (53)
6 10 12 (53)
3 6 10 (53)
2 6 10 (53)
6 10 14 (53)
6 8 13 (53)
6 8 11 (53)
4 6 8 (53)
6 8 9 (53)
6 7 8 (53)
6 8 12 (53)
3 6 8 (53)
2 6 8 (53)
6 8 14 (53)
6 11 13 (53)
4 6 13 (53)
6 9 13 (53)
6 7 13 (53)
6 12 13 (53)
3 6 13 (53)
2 6 13 (53)
6 13 14 (53)
4 6 11 (53)
6 9 11 (53)
6 7 11 (53)
6 11 12 (53)
3 6 11 (53)
2 6 11 (53)
6 11 14 (53)
4 6 9 (53)
4 6 7 (53)
4 6 12 (53)
3 4 6 (53)
2 4 6 (53)
4 6 14 (53)
6 7 9 (53)
6 9 12 (53)
3 6 9 (53)
2 6 9 (53)
6 9 14 (53)
6 7 12 (53)
3 6 7 (53)
2 6 7 (53)
6 7 14 (53)
